delivery_id,date,day_of_week,month,city_zone,time_window,weather,attempt_number,driver_experience_yrs,package_count,weight_kg,distance_km,stops_before_this,traffic_index,delivery_success,delay_minutes
DLV-00073,2024-07-20,Saturday,7,rural,morning_08_12,cloudy,1,1.1,2,0.66,25.71,9,2.1,1,3.5
DLV-00074,2024-09-26,Thursday,9,rural,afternoon_12_17,clear,2,2.0,3,7.52,26.67,30,1.9,1,12.3
DLV-00075,2024-12-16,Monday,12,suburban,afternoon_12_17,clear,1,0.7,4,9.18,11.73,29,2.5,1,20.6
DLV-00076,2024-10-30,Wednesday,10,urban_core,morning_08_12,cloudy,1,0.6,6,4.08,6.37,20,8.0,0,
DLV-00077,2024-09-27,Friday,9,urban_core,afternoon_12_17,cloudy,1,5.9,5,6.19,3.59,35,10.0,1,46.0
DLV-00078,2024-08-02,Friday,8,rural,evening_17_21,clear,1,8.7,6,12.14,25.5,26,1.2,1,17.8
DLV-00079,2024-09-08,Sunday,9,urban_core,evening_17_21,rain,1,0.5,11,18.03,4.16,37,7.5,0,
DLV-00080,2024-07-08,Monday,7,rural,evening_17_21,clear,1,4.3,8,4.89,23.8,34,1.0,1,23.8
DLV-00081,2024-10-22,Tuesday,10,urban_inner,afternoon_12_17,cloudy,1,1.8,2,1.07,11.03,31,7.4,1,37.6
DLV-00082,2024-07-31,Wednesday,7,urban_inner,afternoon_12_17,rain,1,1.5,6,14.46,5.1,25,7.7,0,
DLV-00083,2024-07-26,Friday,7,rural,morning_08_12,cloudy,1,3.5,9,6.49,30.74,3,1.0,1,13.5
DLV-00084,2024-08-24,Saturday,8,suburban,afternoon_12_17,clear,1,0.9,5,3.82,15.4,26,4.4,1,25.5
DLV-00085,2024-12-03,Tuesday,12,urban_inner,morning_08_12,clear,1,0.5,1,2.54,9.73,35,1.8,1,26.3
DLV-00086,2024-02-22,Thursday,2,urban_inner,afternoon_12_17,rain,1,0.7,8,15.62,4.56,36,5.4,0,
DLV-00087,2024-10-06,Sunday,10,urban_inner,afternoon_12_17,clear,2,0.6,4,7.73,8.2,26,7.7,0,
DLV-00088,2024-08-04,Sunday,8,suburban,afternoon_12_17,cloudy,1,0.5,8,12.75,12.44,5,2.8,0,
DLV-00089,2024-09-08,Sunday,9,urban_core,afternoon_12_17,snow,1,1.2,4,7.35,0.76,17,5.2,0,
DLV-00090,2024-07-06,Saturday,7,rural,anytime,snow,1,1.9,11,21.17,32.31,25,2.8,0,
DLV-00091,2024-02-10,Saturday,2,rural,afternoon_12_17,clear,1,4.0,8,23.31,27.71,23,1.6,0,
DLV-00092,2024-06-05,Wednesday,6,urban_core,anytime,rain,2,1.2,9,8.12,3.15,6,7.5,0,
DLV-00093,2024-01-15,Monday,1,suburban,evening_17_21,snow,1,0.6,5,4.4,18.12,13,4.0,0,
DLV-00094,2024-10-27,Sunday,10,urban_inner,afternoon_12_17,clear,3,0.8,5,2.27,10.9,12,7.2,0,
DLV-00095,2024-03-05,Tuesday,3,urban_core,afternoon_12_17,clear,1,6.7,2,4.15,14.41,25,8.8,0,
DLV-00096,2024-12-10,Tuesday,12,rural,morning_08_12,clear,1,0.7,9,16.04,25.15,1,2.4,1,20.6
DLV-00097,2024-11-22,Friday,11,urban_core,evening_17_21,clear,1,6.3,11,6.6,2.79,22,9.0,0,
DLV-00098,2024-01-09,Tuesday,1,urban_core,afternoon_12_17,rain,1,1.8,4,5.14,10.32,27,7.2,1,52.5
DLV-00099,2024-12-09,Monday,12,urban_inner,anytime,cloudy,1,8.2,3,2.35,5.43,0,6.3,1,26.2
DLV-00100,2024-05-08,Wednesday,5,urban_inner,afternoon_12_17,rain,1,1.6,2,2.39,5.81,31,5.8,0,
DLV-00101,2024-05-15,Wednesday,5,urban_inner,evening_17_21,rain,1,0.6,3,8.61,7.76,11,4.0,0,
DLV-00102,2024-03-03,Sunday,3,suburban,evening_17_21,cloudy,2,2.4,4,8.58,18.95,34,5.7,1,32.9
DLV-00103,2024-05-18,Saturday,5,suburban,afternoon_12_17,cloudy,2,2.7,9,2.88,12.41,25,3.6,0,
DLV-00104,2024-03-21,Thursday,3,suburban,morning_08_12,clear,1,3.0,6,5.89,20.83,30,5.9,1,19.8
DLV-00105,2024-06-11,Tuesday,6,urban_core,afternoon_12_17,rain,1,1.6,10,3.28,4.46,11,7.9,0,
DLV-00106,2024-10-15,Tuesday,10,urban_inner,afternoon_12_17,clear,1,0.5,5,11.15,12.02,28,6.4,0,
DLV-00107,2024-09-17,Tuesday,9,urban_core,morning_08_12,cloudy,2,3.0,9,14.11,3.48,4,8.6,0,
DLV-00108,2024-08-18,Sunday,8,urban_core,evening_17_21,clear,1,8.1,8,23.87,1.57,34,7.6,1,37.0
DLV-00109,2024-02-10,Saturday,2,urban_inner,afternoon_12_17,snow,1,9.5,6,13.68,9.72,6,4.9,0,
DLV-00110,2024-01-28,Sunday,1,urban_core,anytime,rain,1,2.7,3,5.1,0.5,15,7.0,1,40.8
DLV-00111,2024-05-14,Tuesday,5,urban_core,evening_17_21,clear,1,0.5,7,17.31,0.5,31,9.0,1,29.6
DLV-00112,2024-07-19,Friday,7,urban_core,afternoon_12_17,cloudy,2,0.5,10,22.03,6.62,16,8.3,0,
DLV-00113,2024-11-23,Saturday,11,rural,anytime,cloudy,2,5.4,6,5.75,26.28,20,1.0,1,22.2
DLV-00114,2024-09-24,Tuesday,9,rural,afternoon_12_17,clear,1,5.3,11,19.05,23.87,26,2.3,0,
DLV-00115,2024-02-02,Friday,2,suburban,evening_17_21,clear,1,8.8,8,14.41,12.2,39,2.0,1,13.7
DLV-00116,2024-02-17,Saturday,2,rural,afternoon_12_17,cloudy,1,2.5,6,9.11,29.69,14,1.9,1,13.0
DLV-00117,2024-03-02,Saturday,3,suburban,afternoon_12_17,clear,1,6.0,11,8.62,11.18,22,5.0,1,24.5
DLV-00118,2024-08-03,Saturday,8,urban_inner,afternoon_12_17,clear,1,5.2,10,9.03,0.5,7,4.9,1,11.4
DLV-00119,2024-10-19,Saturday,10,urban_core,afternoon_12_17,clear,1,2.7,4,4.24,4.02,24,7.1,0,
DLV-00120,2024-04-08,Monday,4,suburban,afternoon_12_17,clear,2,4.6,10,3.28,15.08,10,2.1,0,
DLV-00121,2024-06-20,Thursday,6,suburban,afternoon_12_17,clear,2,0.5,7,19.43,16.43,20,4.4,0,
DLV-00122,2024-12-25,Wednesday,12,suburban,afternoon_12_17,clear,1,3.1,7,15.07,17.07,9,3.7,0,
DLV-00123,2024-08-01,Thursday,8,suburban,anytime,clear,1,9.2,11,23.78,13.52,8,2.5,0,
DLV-00124,2024-02-04,Sunday,2,urban_inner,afternoon_12_17,clear,1,0.5,8,14.76,13.7,0,6.4,0,
DLV-00125,2024-08-14,Wednesday,8,suburban,afternoon_12_17,cloudy,2,4.1,2,4.32,13.63,21,3.5,0,
DLV-00126,2024-04-10,Wednesday,4,rural,afternoon_12_17,snow,2,1.2,11,32.46,27.32,5,2.6,1,43.8
DLV-00127,2024-05-10,Friday,5,urban_inner,evening_17_21,clear,1,5.1,6,8.04,7.13,29,4.4,0,
DLV-00128,2024-09-13,Friday,9,suburban,anytime,rain,1,3.6,3,6.67,14.43,33,3.0,0,
DLV-00129,2024-01-05,Friday,1,urban_inner,afternoon_12_17,clear,2,7.8,8,10.17,9.53,12,6.0,0,
DLV-00130,2024-08-05,Monday,8,suburban,morning_08_12,cloudy,1,3.7,4,10.43,18.19,21,4.5,0,
DLV-00131,2024-09-11,Wednesday,9,suburban,afternoon_12_17,clear,1,1.6,4,10.47,12.38,5,2.0,1,12.0
DLV-00132,2024-12-24,Tuesday,12,urban_core,afternoon_12_17,cloudy,1,0.5,2,5.47,2.09,23,7.4,0,
DLV-00133,2024-10-09,Wednesday,10,suburban,evening_17_21,cloudy,1,4.7,6,1.89,14.42,20,5.0,1,22.8
DLV-00134,2024-07-25,Thursday,7,urban_core,afternoon_12_17,clear,1,1.6,6,6.63,3.19,38,7.3,1,40.8
DLV-00135,2024-01-15,Monday,1,suburban,anytime,clear,1,3.3,1,0.66,10.64,22,3.0,1,14.3
DLV-00136,2024-12-11,Wednesday,12,urban_inner,afternoon_12_17,rain,1,0.5,8,12.21,11.61,4,5.0,1,28.6
DLV-00137,2024-02-11,Sunday,2,suburban,anytime,clear,2,6.6,3,4.91,17.52,6,2.7,1,15.7
DLV-00138,2024-06-27,Thursday,6,urban_core,morning_08_12,clear,1,1.7,1,0.99,0.5,2,7.5,0,
DLV-00139,2024-03-03,Sunday,3,suburban,evening_17_21,clear,1,7.6,10,22.53,13.59,12,1.0,1,4.4
DLV-00140,2024-12-17,Tuesday,12,urban_core,anytime,clear,1,3.7,1,1.03,6.23,11,6.4,1,23.1
DLV-00141,2024-08-18,Sunday,8,rural,anytime,clear,1,0.5,1,2.61,33.77,5,2.4,1,7.7
DLV-00142,2024-08-28,Wednesday,8,rural,morning_08_12,clear,1,2.6,5,3.9,27.81,33,2.9,0,
DLV-00143,2024-02-21,Wednesday,2,rural,morning_08_12,clear,1,7.2,5,6.46,30.59,14,1.0,0,
DLV-00144,2024-04-05,Friday,4,suburban,afternoon_12_17,clear,1,4.8,1,1.98,12.89,17,2.6,1,17.2
DLV-00145,2024-08-09,Friday,8,suburban,morning_08_12,cloudy,2,1.6,5,9.67,15.36,2,3.6,1,15.8
DLV-00146,2024-08-18,Sunday,8,urban_core,morning_08_12,rain,2,9.3,7,3.57,7.2,21,8.1,0,
DLV-00147,2024-08-24,Saturday,8,urban_core,morning_08_12,snow,2,0.9,5,12.92,5.55,34,6.6,0,
DLV-00148,2024-05-22,Wednesday,5,urban_inner,afternoon_12_17,rain,1,1.4,9,17.23,8.08,27,5.6,0,
DLV-00149,2024-06-19,Wednesday,6,suburban,afternoon_12_17,rain,1,4.2,4,10.59,16.9,11,4.0,0,
DLV-00150,2024-01-29,Monday,1,rural,morning_08_12,rain,1,0.8,9,23.78,32.1,0,1.0,0,
DLV-00151,2024-02-05,Monday,2,urban_core,morning_08_12,cloudy,2,2.2,8,14.19,4.95,35,9.6,0,
DLV-00152,2024-01-13,Saturday,1,rural,afternoon_12_17,clear,1,3.9,1,2.76,31.1,29,1.9,1,20.1
DLV-00153,2024-06-08,Saturday,6,suburban,afternoon_12_17,cloudy,2,3.1,4,10.36,12.32,22,3.0,1,19.1
DLV-00154,2024-11-22,Friday,11,suburban,morning_08_12,clear,1,0.5,7,20.21,12.81,36,5.2,0,
DLV-00155,2024-07-05,Friday,7,urban_core,afternoon_12_17,rain,2,3.0,1,2.6,9.2,27,7.4,1,41.1
DLV-00156,2024-08-30,Friday,8,urban_core,anytime,clear,2,2.6,8,20.14,4.21,4,6.9,0,
DLV-00157,2024-03-26,Tuesday,3,urban_inner,anytime,cloudy,1,2.4,11,17.24,7.28,35,6.4,1,32.0
DLV-00158,2024-10-10,Thursday,10,suburban,anytime,clear,2,5.2,2,1.74,14.65,9,3.6,0,
DLV-00159,2024-03-06,Wednesday,3,urban_core,evening_17_21,clear,1,0.6,8,22.07,1.01,4,6.3,1,22.1
DLV-00160,2024-06-18,Tuesday,6,urban_inner,afternoon_12_17,clear,3,4.2,11,24.76,11.23,13,7.4,0,
DLV-00161,2024-02-14,Wednesday,2,rural,afternoon_12_17,clear,2,4.3,4,4.24,27.86,23,1.0,1,12.0
DLV-00162,2024-03-02,Saturday,3,suburban,afternoon_12_17,clear,3,3.8,8,9.77,16.14,27,2.9,1,17.3
DLV-00163,2024-05-13,Monday,5,rural,afternoon_12_17,clear,1,2.1,1,2.15,32.53,20,4.6,1,25.4
DLV-00164,2024-10-10,Thursday,10,urban_inner,afternoon_12_17,clear,1,1.5,5,7.95,11.69,39,6.0,0,
DLV-00165,2024-01-28,Sunday,1,urban_core,afternoon_12_17,clear,2,1.5,9,4.68,3.46,11,4.8,1,18.3
DLV-00166,2024-04-17,Wednesday,4,suburban,afternoon_12_17,rain,2,4.0,7,4.77,10.59,19,5.2,1,38.1
DLV-00167,2024-02-13,Tuesday,2,urban_inner,morning_08_12,clear,1,2.1,3,6.94,6.79,31,5.4,0,
DLV-00168,2024-12-05,Thursday,12,urban_core,evening_17_21,clear,1,1.2,4,4.75,4.97,37,5.6,1,26.9
DLV-00169,2024-10-12,Saturday,10,urban_core,morning_08_12,snow,1,2.9,10,16.71,0.84,39,8.8,0,
DLV-00170,2024-11-26,Tuesday,11,urban_inner,morning_08_12,cloudy,2,5.4,7,16.59,12.76,20,7.4,0,
DLV-00171,2024-05-07,Tuesday,5,urban_core,morning_08_12,clear,2,0.5,6,13.97,4.86,16,9.3,1,32.4
DLV-00172,2024-12-13,Friday,12,urban_core,afternoon_12_17,clear,1,10.7,4,3.0,3.8,0,5.7,1,17.2
DLV-00173,2024-08-18,Sunday,8,urban_core,morning_08_12,rain,1,0.5,3,1.7,1.3,27,7.0,1,34.2
DLV-00174,2024-07-08,Monday,7,urban_core,anytime,clear,1,2.2,11,20.86,4.54,1,6.8,1,14.7
DLV-00175,2024-08-12,Monday,8,suburban,afternoon_12_17,clear,1,2.5,2,4.6,14.29,16,2.1,1,21.8
DLV-00176,2024-10-09,Wednesday,10,urban_inner,afternoon_12_17,rain,2,0.5,10,7.02,5.48,38,6.7,1,42.0
DLV-00177,2024-04-30,Tuesday,4,suburban,afternoon_12_17,clear,1,7.4,9,11.74,14.89,13,5.1,1,20.8
DLV-00178,2024-04-25,Thursday,4,urban_core,afternoon_12_17,rain,1,1.9,3,7.95,4.11,13,6.5,0,
DLV-00179,2024-08-20,Tuesday,8,urban_core,evening_17_21,clear,2,0.5,7,19.95,0.5,17,7.4,0,
DLV-00180,2024-09-15,Sunday,9,suburban,afternoon_12_17,cloudy,1,3.7,1,1.53,16.05,39,3.7,1,27.3
DLV-00181,2024-12-24,Tuesday,12,urban_inner,evening_17_21,rain,1,3.3,8,4.12,15.41,33,7.4,1,49.1
DLV-00182,2024-07-16,Tuesday,7,urban_inner,anytime,clear,2,9.9,1,1.0,13.37,0,5.8,1,13.8
DLV-00183,2024-05-16,Thursday,5,urban_inner,evening_17_21,rain,1,1.7,2,1.86,9.48,17,5.8,1,33.2
DLV-00184,2024-11-13,Wednesday,11,rural,afternoon_12_17,snow,2,0.9,1,0.95,28.83,33,3.2,0,
DLV-00185,2024-06-13,Thursday,6,urban_core,morning_08_12,clear,1,0.5,4,6.53,0.5,22,7.4,1,31.9
DLV-00186,2024-08-12,Monday,8,urban_inner,afternoon_12_17,snow,2,4.0,2,3.75,8.75,15,4.9,0,
DLV-00187,2024-11-02,Saturday,11,suburban,afternoon_12_17,clear,1,2.9,1,0.63,13.12,18,1.9,0,
DLV-00188,2024-08-21,Wednesday,8,urban_inner,evening_17_21,rain,1,10.8,1,2.7,0.5,36,4.9,1,39.1
DLV-00189,2024-06-20,Thursday,6,urban_core,evening_17_21,clear,1,3.7,2,3.95,3.37,5,7.6,0,
DLV-00190,2024-05-31,Friday,5,urban_inner,evening_17_21,clear,3,8.1,6,11.48,6.28,23,3.9,1,28.8
DLV-00191,2024-11-10,Sunday,11,suburban,evening_17_21,clear,3,14.3,2,5.93,9.36,16,3.9,0,
DLV-00192,2024-06-08,Saturday,6,urban_core,morning_08_12,clear,1,1.7,11,21.96,4.2,15,4.9,1,20.9
DLV-00193,2024-04-05,Friday,4,urban_core,morning_08_12,clear,1,0.5,2,5.62,0.5,38,5.7,1,28.4
DLV-00194,2024-08-20,Tuesday,8,urban_core,morning_08_12,rain,1,0.7,8,8.58,5.71,5,8.2,1,35.0
DLV-00195,2024-06-28,Friday,6,suburban,anytime,rain,1,1.1,5,4.74,15.67,15,2.8,1,32.3
DLV-00196,2024-04-22,Monday,4,urban_core,evening_17_21,clear,2,2.1,8,13.56,1.69,8,7.5,0,
DLV-00197,2024-11-13,Wednesday,11,rural,afternoon_12_17,clear,1,0.5,8,13.39,26.76,28,1.7,1,19.0
DLV-00198,2024-02-21,Wednesday,2,urban_inner,evening_17_21,rain,2,1.1,2,1.82,6.59,3,8.1,0,
DLV-00199,2024-09-24,Tuesday,9,rural,evening_17_21,clear,2,1.1,7,15.32,27.29,25,2.0,1,2.0
DLV-00200,2024-10-21,Monday,10,rural,anytime,clear,1,0.5,9,3.42,20.64,37,1.0,1,15.9
DLV-00201,2024-04-22,Monday,4,urban_inner,evening_17_21,clear,2,1.3,8,17.32,9.16,25,6.7,1,28.6
DLV-00202,2024-04-10,Wednesday,4,urban_core,afternoon_12_17,clear,1,0.5,9,13.81,9.06,13,5.6,0,
DLV-00203,2024-04-22,Monday,4,urban_core,afternoon_12_17,clear,1,1.7,8,17.28,9.05,34,8.7,0,
DLV-00204,2024-03-21,Thursday,3,urban_core,morning_08_12,cloudy,2,0.7,4,6.35,7.23,23,8.4,0,
DLV-00205,2024-07-05,Friday,7,suburban,afternoon_12_17,cloudy,1,5.2,10,29.39,7.96,7,3.9,0,
DLV-00206,2024-04-22,Monday,4,urban_core,afternoon_12_17,clear,1,0.5,7,8.43,2.61,39,8.3,0,
DLV-00207,2024-01-02,Tuesday,1,urban_core,morning_08_12,rain,2,6.0,9,26.58,6.01,24,9.0,0,
DLV-00208,2024-05-09,Thursday,5,urban_inner,evening_17_21,cloudy,1,2.6,9,4.28,9.38,3,5.8,0,
DLV-00209,2024-08-07,Wednesday,8,rural,afternoon_12_17,clear,1,1.8,4,8.58,31.48,14,2.1,1,20.8
DLV-00210,2024-02-23,Friday,2,urban_core,anytime,clear,2,2.4,7,10.68,3.71,15,7.6,1,20.7
DLV-00211,2024-12-08,Sunday,12,urban_core,morning_08_12,clear,1,1.4,6,15.12,0.84,10,6.1,1,19.1
DLV-00212,2024-08-11,Sunday,8,urban_core,afternoon_12_17,clear,3,0.5,3,7.3,6.09,27,6.3,0,
DLV-00213,2024-08-12,Monday,8,rural,afternoon_12_17,clear,1,4.4,10,24.61,26.57,6,1.9,1,12.3
DLV-00214,2024-05-05,Sunday,5,suburban,morning_08_12,clear,1,7.9,6,3.33,18.18,37,3.5,0,
DLV-00215,2024-05-09,Thursday,5,urban_core,afternoon_12_17,clear,2,9.0,8,20.16,6.52,23,7.6,1,28.3
DLV-00216,2024-02-22,Thursday,2,urban_core,morning_08_12,cloudy,1,3.3,2,1.76,3.39,30,6.5,1,41.2
DLV-00217,2024-06-20,Thursday,6,urban_core,morning_08_12,rain,2,1.6,3,1.11,5.01,3,5.0,1,30.5
DLV-00218,2024-08-05,Monday,8,urban_core,morning_08_12,clear,2,2.0,8,7.1,7.85,36,9.4,1,41.5
